"","WT","STAT1_0","STAT5_0","IL1R_0","IL12_out_0","FCGR_0","NFKB_0","VEGF_out_0","TLR4_0","IL6_out_0","KLF4_0","STAT6_0","IL10_out_0","SOCS1_0","PPARG_0","STAT3_IL6_0","STAT3_IL10_0","SOCS3_0","IL6R_0","IL10R_0","IFNG_e_0","GMCSF_e_0","IL1B_e_0","IC_e_0","LPS_e_0","NECA_e_0","EGFR_e_0","IL4_e_0","IL6_e_0","IL10_e_0","STAT1_1","STAT5_1","IL1R_1","IL12_out_1","FCGR_1","NFKB_1","VEGF_out_1","TLR4_1","IL6_out_1","KLF4_1","STAT6_1","IL10_out_1","SOCS1_1","PPARG_1","STAT3_IL6_1","STAT3_IL10_1","SOCS3_1","IL6R_1","IL10R_1","IFNG_e_1","GMCSF_e_1","IL1B_e_1","IC_e_1","LPS_e_1","NECA_e_1","EGFR_e_1","IL4_e_1","IL6_e_1","IL10_e_1"
"M0__",8,16,16,12,32,8,16,8,12,8,8,16,296,8,8,16,16,8,16,16,8,8,8,4,8,4,4,8,8,8,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,16,0,0,0,0,0,4,0,4,4,0,0,0
"M0__/M0__",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0__/M1__",4,8,8,0,0,4,0,4,6,0,4,8,4,4,4,4,8,0,8,8,4,4,4,2,4,2,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,2,0,0,4,0
"M0__/NoLabel",4,8,8,6,32,4,8,4,6,8,4,8,20,4,4,0,8,0,0,8,4,4,4,2,4,2,4,4,0,4,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0
"M1__",24,16,16,36,0,24,48,24,36,88,24,48,56,24,24,200,48,200,200,48,8,8,24,12,24,12,12,24,24,24,32,32,0,24,0,0,0,0,0,48,0,0,32,0,176,0,200,176,0,16,16,0,12,0,12,12,0,0,0
"M1__/M0__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1__/M1__",248,208,208,86,0,312,72,280,340,160,248,496,584,248,248,48,496,48,48,496,104,104,200,156,216,140,112,248,112,248,288,288,128,284,0,128,0,80,272,72,0,0,48,0,48,0,48,48,0,144,144,48,92,32,108,136,0,136,0
"M1__/NoLabel",16,32,32,0,0,16,0,16,24,0,16,32,16,16,16,8,32,16,8,32,16,16,16,8,16,8,8,16,8,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,8,16,0,0,0,0,8,0,8,8,0,8,0
"M2a__",256,256,256,256,256,384,256,320,320,256,256,0,0,256,256,256,64,128,256,64,128,128,160,192,192,160,128,0,128,128,256,256,256,0,0,0,0,160,0,256,512,256,256,256,0,256,256,0,256,128,128,96,64,64,96,128,256,128,128
"M2a__/NoLabel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2b__",128,128,128,128,128,192,128,160,160,0,128,256,0,128,128,320,0,448,320,0,64,64,80,96,96,80,0,128,64,64,128,128,128,128,0,256,0,80,256,128,0,128,128,128,448,320,320,448,128,64,64,48,32,32,48,128,0,64,64
"M2b__/M2b__",192,192,192,192,192,0,192,192,192,0,192,384,0,192,192,0,192,0,0,192,96,96,64,0,64,96,96,192,96,96,192,192,192,192,512,192,0,96,192,192,0,192,192,192,0,0,0,0,192,96,96,128,192,128,96,96,0,96,96
"M2c__",256,256,256,256,256,384,256,320,320,256,256,512,0,256,256,256,0,128,256,0,128,128,160,192,192,160,128,256,128,128,256,256,256,0,0,0,0,160,0,256,0,256,256,256,0,256,256,0,256,128,128,96,64,64,96,128,0,128,128
"M2d__",64,64,64,64,64,128,68,0,0,64,64,128,32,64,64,64,0,32,64,0,32,32,32,64,0,0,32,64,32,32,64,64,64,0,0,0,328,160,0,68,0,64,72,64,0,64,64,0,64,32,32,32,0,64,64,32,0,32,32
"M2d__/NoLabel",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NoLabel",256,256,256,256,256,448,268,160,160,272,256,64,208,256,256,488,96,656,488,96,128,128,144,224,96,80,32,32,128,128,256,256,256,840,0,384,664,400,384,268,448,256,264,256,624,448,488,624,256,128,128,112,32,160,176,224,224,128,128
"NoLabel/M0__",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NoLabel/M1__",8,16,16,0,0,8,0,8,12,0,8,16,8,8,8,0,16,0,0,16,8,8,8,4,8,4,0,8,4,8,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,4,0
"NoLabel/NoLabel",232,240,240,236,480,72,230,200,204,208,232,80,192,232,232,0,480,0,0,480,120,120,88,36,72,100,112,40,116,136,224,224,224,224,512,224,700,368,240,230,384,192,244,192,0,0,0,0,192,112,112,144,196,160,132,120,192,116,96
